,id,comms_num
0,01-28,27953
1,01-29,161335
2,01-30,122047
3,01-31,85414
4,02-01,63682
5,02-02,34389
6,02-03,135639
7,02-04,52330
8,02-05,18941
9,02-06,23835
10,02-07,19865
11,02-08,47669
12,02-09,47533
13,02-10,59720
14,02-11,33737
15,02-12,9723
16,02-13,15157
17,02-14,5965
18,02-15,1696
19,02-16,2804
20,02-17,6142
21,02-18,78156
22,02-19,4403
23,02-20,10445
24,02-21,5755
25,02-22,28361
26,02-23,5788
27,02-24,1469
28,02-25,168920
29,02-26,76791
30,02-27,9529
31,02-28,7453
32,03-01,54843
33,03-02,7304
34,03-03,41099
35,03-04,52523
36,03-05,56511
37,03-06,5229
38,03-07,4145
39,03-08,82464
40,03-09,75329
41,03-10,100751
42,03-11,136748
43,03-12,91197
44,03-13,3331
45,03-14,6655
46,03-15,2656
47,03-16,60609
48,03-17,5122
49,03-18,10967
50,03-19,68066
51,03-20,3865
52,03-21,3064
53,03-22,1840
54,03-23,40491
55,03-24,7713
56,03-25,71335
57,03-26,1891
58,03-27,2357
59,03-28,816
60,03-29,27385
61,03-30,35755
62,03-31,17229
63,04-01,28016
64,04-02,269
65,04-03,282
66,04-04,1523
67,04-05,24111
68,04-06,816
69,04-07,887
70,04-08,27832
71,04-09,476
72,04-10,60
73,04-11,2312
74,04-12,34152
75,04-13,25587
76,04-14,40036
77,04-15,26636
78,04-16,27104
79,04-17,1597
80,04-18,660
81,04-19,1080
82,04-20,73
83,04-21,208
84,04-23,14
85,04-24,1442
86,04-25,106
87,04-26,851
88,04-27,1708
89,04-28,244
90,04-29,105
91,04-30,248
92,05-01,237
93,05-06,627
94,05-07,799
95,05-08,1612
96,05-09,55
97,05-10,900
98,05-11,45
99,05-12,221
100,05-13,80
101,05-14,1983
102,05-15,760
103,05-16,496
104,05-17,156
105,05-18,1526
106,05-19,320
107,05-20,452
108,05-22,66
109,05-23,7
110,05-24,1600
111,05-25,81
112,05-26,3656
113,05-27,1435
114,05-28,124
115,05-30,2883
116,05-31,724
117,06-01,880
