id,comms_num
01-28,9758
01-29,19173
01-30,33549
01-31,15544
02-01,16663
02-02,8393
02-03,13645
02-04,5137
02-05,4270
02-06,4705
02-07,2301
02-08,4508
02-09,2817
02-10,11976
02-11,4252
02-12,5659
02-13,1719
02-14,211
02-15,572
02-16,353
02-17,4349
02-18,324
02-19,250
02-20,4397
02-21,569
02-22,505
02-23,197
02-24,661
02-25,923
02-26,2421
02-27,2275
02-28,1034
03-01,1462
03-02,792
03-03,2022
03-04,1275
03-05,1303
03-06,2879
03-07,909
03-08,144
03-09,897
03-10,335
03-11,1803
03-12,452
03-13,162
03-14,655
03-15,1285
03-16,3823
03-17,746
03-18,929
03-19,287
03-20,963
03-21,3491
03-22,1289
03-23,423
03-24,547
03-25,262
03-26,250
03-27,185
03-29,241
03-30,58
03-31,187
04-01,324
04-02,991
04-03,157
04-05,170
04-06,64
04-07,259
04-09,217
04-11,142
04-12,372
04-13,107
04-14,114
04-15,241
04-16,223
04-18,218
04-19,1002
04-21,7
04-22,267
04-24,36
04-25,258
04-27,837
04-28,462
04-29,418
04-30,248
05-05,12
05-06,28
05-07,313
05-08,538
05-10,275
05-12,553
05-13,42
05-14,282
05-15,474
05-16,348
05-17,124
05-18,375
05-19,144
05-20,160
05-24,352
05-25,81
05-26,216
05-27,1564
05-28,321
05-29,383
05-30,2952
05-31,392
06-01,4
